-0.0112029, -0.0103414, 0.00913239, 0.0123161, 0.0286449, 0.0396534, 0.00421681, 0.0430836, 0.0270667, 0.06363, -0.0328771, -0.0393769, -0.0395091, 0.031588, 0.0339579, 0.145476, 
0.0181212, -0.00129204, 0.0400362, 0.0600088, -0.0358504, 0.03185, 0.020658, 0.0716133, 0.0503219, -0.0184153, -0.0564386, 0.0177689, 0.042778, 0.00553759, 0.0875296, 0.0726944, 
-0.000146048, -0.0386573, 0.00842765, -0.00244883, 0.0977501, 0.0597971, 0.0238099, 0.0674852, 0.0692723, -0.00247258, -0.0188392, 0.0713639, -0.0204262, 0.00172214, -0.0122059, 0.053194, 
0.0706708, 0.03339, 0.0276176, -0.0317915, -0.0335122, 0.0686854, 0.0627762, 0.182376, 0.0208963, 0.0271612, 0.0787346, 0.0127382, 0.0410161, 0.0834491, 0.0396295, -0.0302669, 
0.0291156, 0.050678, 0.0079933, 0.0492901, 0.0686231, -0.0409106, 0.044147, 0.0364647, 0.0565121, 0.0360981, -0.000679135, -0.012329, 0.0594152, 0.0677348, 0.0331166, 0.0835943, 
0.0864599, 0.0175044, 0.0581907, 0.0446802, 0.003515, 0.0520366, 0.0439204, -0.0208747, -0.00265764, -0.0251777, -0.0143755, 0.000198809, -0.000350388, 0.00773704, 0.0129312, 0.0120962, 
0.0934749, 0.039403, 0.0713626, -0.0141413, 0.130936, 0.0573754, 0.044696, -0.00283599, 0.0710531, 0.0570916, 0.0374317, 0.0144725, -0.0337322, 0.0881157, 0.148834, 0.0328581, 
0.0796187, 0.0193439, -0.0261149, 0.0317375, -0.00579252, 0.047072, 0.0929551, -0.00125735, 0.0631418, 0.0210242, 0.0746276, 0.0379878, 0.00813457, 0.0180716, -0.0813564, 0.0872361, 
0.0388439, 0.0385153, -0.000504073, 0.064984, -0.0343471, 0.0377041, 0.0106859, 0.042084, -0.0140293, 0.0156043, -0.00581687, 0.0935968, -0.00335335, 0.00938937, 0.00593063, 0.0613243, 
0.00353276, 0.0286256, 0.0181747, 0.0283326, 0.030654, 0.039552, -0.0509558, 0.0171097, 0.0350878, 0.0247029, 0.0200174, 0.0135433, -0.0270955, 0.0394329, 0.0553423, 0.040713, 
-0.0368579, 0.0336302, 0.104769, 0.0988727, -0.00480896, 0.0432821, -0.0289157, -0.0233092, 0.0111722, 0.00899729, 0.0412004, 0.0424312, 0.030445, 0.0179923, 0.0336467, 0.0325002, 
0.0252752, 0.0315994, 0.0863031, 0.0840603, 0.113799, 0.104616, 0.0919467, 0.0576424, 0.0150478, 0.0621598, -0.00819575, 0.014513, 0.00693013, -0.0141948, 0.0923714, 0.0228073, 
0.0499699, 0.0291759, -0.0035379, 0.0667892, 0.0836459, 0.060948, -0.0120814, 0.0552045, 0.0713786, 0.0294297, -0.0188639, 0.0729193, 0.0674002, 0.0302355, -0.000786742, 0.014512, 
0.0832996, -0.0173067, -0.0124156, 0.0152539, 0.0104089, 0.0572987, -0.0407145, 0.0356261, 0.0388583, -0.0536897, -0.0095006, 0.0602442, 0.00438612, 0.0826572, 0.037354, 0.0433642, 
0.0130441, 0.0065931, -0.01423, 0.0720351, 0.0215776, -0.0412957, 0.0152459, 0.0783393, 0.0187031, 0.0443611, 0.014158, 0.0679277, 0.0730632, 0.0271355, 0.045677, 0.00113588, 
-0.0338739, 0.0633674, 0.0299459, 0.0339248, 0.106992, -0.0842845, 0.0486224, 0.00118489, -0.0336305, 0.0424425, 0.0577495, 0.033015, 0.0873824, -0.0448965, -0.000531663, 0.050375, 
-0.0453572, -0.0634666, 0.0232012, 0.0511379, -0.0066326, -0.00729775, 0.105731, 0.0401319, 0.0483436, 0.0268024, 0.0122054, 0.0318117, 0.0163015, 0.0950399, 0.0435098, 0.0705099, 
0.0854058, 0.0051569, -0.0157227, 0.124574, 0.00991351, 0.101143, 0.0739933, -0.0841629, 0.060106, 0.0433958, 0.0155566, -0.0167539, 0.0474077, 0.156774, 0.0207914, -0.0210556, 
-0.000302009, 0.0685022, -0.0064723, -2.29938e-06, 0.000477778, 0.0219755, 0.0520598, 0.0771911, -0.0761258, 0.0504527, 0.0111279, 0.0420128, 0.0941808, 0.0582802, 0.0723777, 0.0226396, 
-0.063882, 0.0167708, -0.00739061, 0.00133731, 0.0929854, 0.0162865, 0.148589, 0.13076, 0.0562454, 0.0143612, 0.0642169, 0.0483797, 0.125911, 0.125652, 0.0745308, -0.0171924
